"Status","Progress","Duration__in_seconds_","Finished","DistributionChannel","UserLanguage","Gender","Age","Race_White","Race_Black","Race_American_Indian","Race_Asian","Race_Native_Hawaiian","Race_Other","Race_Other_Text","Ethnicity","Type_of_Phone","Type_of_Phone_Other_Text","Timing_First_Click_1","Timing_Last_Click_1","Timing_Page_Submit_1","Timing_Click_Count_1","Timing_First_Click_2","Timing_Last_Click_2","Timing_Page_Submit_2","Timing_Click_Count_2","Frequency_Text_Messages","Frequency_Text_Communication","Frequency_Text_Communication_iPhone","Frequency_Text_Communication_Android","Emoji_Use_Attitude_Useless_Useful","Emoji_Use_Attitude_Uninteresting_Interesting","Emoji_Use_Attitude_Boring_Fun","Emoji_Use_Attitude_Easy_Hard","Emoji_Use_Attitude_Informal_Formal","Emoji_Use_Attitude_Bad_Good","Emoji_Use_Motive_Express_Feeling_To_Others","Emoji_Use_Motive_Strengthen_Message_Content","Emoji_Use_Motive_Soften_Message_Content","Emoji_Use_Motive_Make_Content_Ironic_Sarcastic","Emoji_Use_Motive_Make_Content_Fun_Comic","Emoji_Use_Motive_Make_Content_Serious","Emoji_Use_Motive_Make_Content_Positive","Emoji_Use_Motive_Make_Content_Negative","Emoji_Use_Motive_Express_Images_Not_Words","CMC_Effectiveness_Get_What_I_Want","CMC_Effectiveness_Achieve_Goals","CMC_Effectiveness_Interactions_Accomplish_Goals","CMC_Effectiveness_Effective_Conversations","Online_Attitudes_Meeting_People_Important_Regardless_Mode","Online_Attitudes_Never_Use_Internet_To_Make_Friends","Online_Attitudes_Do_Not_Understand_Making_Friends_Online","Online_Attitudes_Online_Relationships_Not_Strong","Online_Attitudes_Like_Making_Friends_Online","Online_Attitudes_Online_Romantic_Partners_Desperate","Online_Attitudes_Nothing_Wrong_Making_Friends_Online","Online_Attitudes_Never_Meet_Online_Offline","Online_Attitudes_Better_Friends_In_Person_Community","Online_Attitudes_Internet_Broadens_Horizons","Online_Attitudes_Internet_Good_For_Relationships","Online_Attitudes_Frown_On_Online_Relationships","Online_Attitudes_Online_Friends_Become_Common","Online_Attitudes_Do_Not_Believe_Find_Love_Online","Online_Attitudes_Online_Relationships_People_Different","Attitudes_Composite","CMC_Effectiveness_Composite","Motives_Composite","Condition","Online_Attitudes_Composite","condition_dummy","q26_2r","q26_3r","q26_4r","q26_6r","q26_8r","q26_9r","q26_12r","q26_14r","q26_15r","online_rel_form","filter_.","AGE_RECODED"
0,6,20,0,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,362,0,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,9,0,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,13,0,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,6,0,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,6,0,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,22,0,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,33,0,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,9,0,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,6,0,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
